"dati.lat","dati.lng"
45.4842817,9.1634361
45.4405852,9.2142518
45.4797509,9.1656069
45.4862748,9.1975273
45.5010368,9.1830183
45.4548759,9.1999622
45.4675228,9.213219
45.4493814,9.1997827
45.4481891,9.1625593
45.4615675,9.2300854
45.4818768,9.1798408
45.4609399,9.2025753
45.4788438,9.1843698
45.4561061,9.1651173
45.4830209,9.1563183
45.4531073,9.170683
45.4508453,9.2000034
45.4512195,9.1729112
45.4799687,9.1966443
45.4813048,9.1689055
45.4695387,9.15509
45.4525861,9.214961
45.4582188,9.2128665
45.4681691,9.1513344
45.4503578,9.2048187
45.4172857,9.1789169
45.4774896,9.2077745
45.4887799,9.1998189
45.489669,9.1873702
45.4842172,9.1571059
45.4776819,9.090792
45.4809444,9.1904687
45.4606429,9.1938414
45.4657452,9.1961637
45.4654003,9.1811394
45.476524,9.2026319
45.4539047,9.1634437
45.4882334,9.1618605
45.478658,9.2060179
45.4812425,9.2056055
45.4570473,9.1702892
45.4814971,9.1874085
45.4596258,9.1131796
45.4721327,9.1857178
45.4808919,9.1854727
45.4863481,9.1865843
45.443161,9.1160278
45.4939282,9.1853261
45.4481247,9.2092604
45.4488059,9.2108737
45.4867759,9.1670728
45.4649122,9.1815493
45.4813734,9.1744403
45.4683423,9.1727571
45.4967935,9.2051859
51.1126165,-2.4534937
45.458001,9.1705529
45.4811486,9.1665732
45.471543,9.214489
45.4813298,9.1765932
45.4588028,9.1318443
45.482063,9.2009174
45.456974,9.2166469
45.483152,9.1700624
45.6190919,9.4619181
45.4423834,9.1337931
45.4855232,9.2046028
45.467456,9.19038
45.5099297,9.1750765
45.4903033,9.2219507
