"V1","V2"
45.456265,9.204646
45.4841535,9.1636342
45.4773541,9.2121925
45.4531778,9.2030058
45.4556767,9.1745582
45.4821712,9.1969315
45.452906,9.1662347
45.4774581,9.2060991
45.484601,9.1658049
60.2795906,2.47613922
45.4709017,9.1228384
45.4556502,9.1685857
45.4553894,9.1710514
45.4683423,9.1727571
45.4506537,9.1535359
45.4829704,9.2053249
45.473121,9.1183346
45.4789848,9.1886501
45.4774951,9.1791989
45.4819444,9.1725
45.4672461,9.1737812
45.4808502,9.1927028
45.4770463,9.2019967
45.4708261,9.2065093
45.4515931,9.172939
45.4947706,9.1855922
45.453186,9.17224
45.4444653,9.1659843
45.5061799,9.2320329
45.4679206,9.1344907
45.4541345,9.2133533
45.4668795,9.1452978
45.4752981,9.189119
45.4789971,9.202924
45.4669322,9.2149303
45.4801462,9.2201069
45.4593968,9.1704937
45.4839744,9.1983223
45.4369773,9.1921086
45.4528439,9.1859605
45.4775439,9.1472145
45.4883974,9.1887332
45.4546086,9.2201623
45.4804443,9.161042
45.4790861,9.17815
45.486522,9.2034304
45.4761354,9.1713442
45.4875679,9.1901608
45.461974,9.2329121
45.4372725,9.2179749
45.491378,9.239295
45.44633,9.1802278
45.4442225,9.1161815
45.4790045,9.1779133
46.0220139,7.747775
45.484951,9.162329
45.4793061,9.1748628
45.4795898,9.1459355
45.450925,9.1700679
45.481363,9.2050526
45.467132,9.2073134
45.483963,9.242307
45.4862028,9.3017213
45.4744339,9.1886692
45.4503878,9.1947903
45.486684,9.2904714
45.4403588,9.1458453
45.4551003,9.2015503
45.4558962,9.2048733
45.4825175,9.1988419
45.4707921,9.2556279
45.4576333,9.2215323
45.4712655,9.1825567
45.4854521,9.2353474
45.4674162,9.14736
45.4966846,9.1835996
45.4445286,9.2078998
45.4756013,9.1833092
45.4969444,9.1905556
45.4511809,9.1896933
45.4703423,9.2464384
45.4506739,9.1684653
45.4683423,9.1727571
45.4513626,9.0831509
45.4842817,9.1634361
45.4895692,9.2097919
45.4793068,9.1821188
45.4893827,9.189231
45.4808674,9.1831823
45.5915185,9.1740195
45.4545229,9.1713638
45.4505768,9.16998
45.4521521,9.2054419
45.4737694,9.2122694
45.47689,9.2024904
45.4666922,9.2100821
45.4679704,9.1520831
45.4771508,9.1743502
45.4759029,9.2028824
45.470387,9.2406452
45.433903,9.174037
45.4509341,9.1765184
45.4508212,9.1976274
45.4525891,9.2102748
45.4418932,9.1324503
45.5280203,9.1610752
45.4814978,9.1791489
45.5161878,9.1744884
45.4586944,9.1542716
45.4819705,9.229153
45.4900121,9.1904185
45.4530355,9.1663702
45.4891051,9.1885537
45.4461141,9.1790991
45.5057371,9.2286026
45.4787492,9.2168255
45.6014077,8.9134183
45.4767345,9.1886854
45.4473751,9.1530325
45.4458606,9.2131224
45.462023,9.228323
45.4809439,9.2034378
45.488895,9.188824
45.4667477,9.1522333
45.4790861,9.17815
45.458188,9.206128
45.4685407,9.1756322
48.0003113,1.13419116
45.4532731,9.1806855
45.4640531,9.2066585
45.4821451,9.1928279
45.4841876,9.2015804
45.4534955,9.1569415
45.4806972,9.1926586
45.454987,9.16148
45.4678993,9.1742802
45.4931823,9.1483349
45.4807531,9.1986346
45.4613767,9.1545544
45.4814725,9.2142184
45.451591,9.174769
45.4709687,9.16862
45.4441596,9.1963831
45.457397,9.183248
45.4529462,9.2149666
45.4820922,9.2197502
45.4786652,9.2096034
45.4921274,9.1512478
45.4508333,9.1976058
45.4794893,9.1948814
45.4511086,9.1723724
45.4786704,9.1882281
45.488046,9.228167
45.476871,9.205432
45.4587585,9.1809426
45.4815913,9.1777201
45.481853,9.209483
45.4526319,9.1452424
45.4754383,9.2144521
45.455102,9.1734213
45.4842817,9.1634361
45.4405852,9.2142518
45.4797509,9.1656069
45.4862748,9.1975273
45.5010368,9.1830183
45.4548759,9.1999622
45.4675228,9.213219
45.4493814,9.1997827
45.4481891,9.1625593
45.4615675,9.2300854
45.4818768,9.1798408
45.4788438,9.1843698
45.4561061,9.1651173
45.4830209,9.1563183
45.4531073,9.170683
45.4508453,9.2000034
45.4813048,9.1689055
45.4695387,9.15509
45.4582188,9.2128665
45.4681691,9.1513344
45.4503578,9.2048187
45.4774896,9.2077745
45.4887799,9.1998189
45.489669,9.1873702
45.4842172,9.1571059
45.4809444,9.1904687
45.4539047,9.1634437
45.4882334,9.1618605
45.4812425,9.2056055
45.4570473,9.1702892
45.4814971,9.1874085
45.4596258,9.1131796
45.4721327,9.1857178
45.4863481,9.1865843
45.4481247,9.2092604
45.4488059,9.2108737
45.4867759,9.1670728
45.4813734,9.1744403
45.4683423,9.1727571
45.4967935,9.2051859
51.1126165,-0.24534937
45.4811486,9.1665732
45.471543,9.214489
45.4813298,9.1765932
45.4588028,9.1318443
45.456974,9.2166469
45.4423834,9.1337931
45.4855232,9.2046028
45.5099297,9.1750765
45.4768578,9.2149618
45.4455182,9.146575
45.4408371,9.156262
45.4898736,9.1895687
45.483627,9.1890437
45.4566891,9.1740312
45.473264,9.2079162
45.4639566,9.2171043
45.4696145,9.1546349
45.4812802,9.1759905
45.4522142,9.1762335
45.4935047,9.1446511
45.5811593,9.1925789
45.4586833,9.1782735
45.4821712,9.1969315
45.4600503,9.0977041
45.4735634,9.1262008
45.4915802,9.207667
45.506193,9.223446
45.490336,9.2037626
45.4681691,9.1513344
45.4438083,9.1279425
45.4813048,9.1689055
45.4527313,9.1756197
45.480223,9.1933041
45.4613044,9.2280151
45.4893881,9.1636323
45.4314347,9.2015795
45.4729291,9.2109392
45.4598923,9.1653624
45.485401,9.1615896
45.4486852,9.2068172
45.4760559,9.1887438
45.4510302,9.2035732
45.4531843,9.1801969
45.4503578,9.2048187
45.4874555,9.1669455
45.4895608,9.1889212
45.4549954,9.1616117
45.4624388,9.173048
45.4767051,9.205368
45.476315,9.2167676
45.4550453,9.2014871
45.4885139,9.205075
45.4582111,9.2061771
45.4797755,9.2107013
45.4898859,9.1889365
45.4413889,9.2013889
45.4812802,9.1759905
45.461795,9.221301
45.4769586,9.1958166
45.4494389,9.1973807
45.4900121,9.1904185
